census_code_dp05,name
DP05_0006E,age_5_to_9
DP05_0007E,age_10_to_14
DP05_0008E,age_15_to_19
DP05_0009E,age_20_to_24
DP05_0010E,age_25_to_34
DP05_0011E,age_35_to_44
DP05_0012E,age_45_to_54
DP05_0013E,age_55_to_59
DP05_0014E,age_60_to_64
DP05_0015E,age_65_to_74
DP05_0016E,age_75_to_84
DP05_0064E,race_white
DP05_0065E,race_black_or_african_american
DP05_0066E,race_american_indian_and_alaska_native
DP05_0067E,race_asian
DP05_0068E,race_native_hawaiian_and_other_pacific_islander
DP05_0069E,race_some_other_race
DP05_0002E,sex_male
DP05_0003E,sex_female
DP05_0030E,sex_65_plus_male
DP05_0031E,sex_65_plus_female
DP05_0087E,voting_eligable_population
DP05_0086E,housing_units
