Date,TSA_2020,TSA_2019
04/29/2020,119629,2256442
04/28/2020,110913,2102068
04/27/2020,119854,2412770
04/26/2020,128875,2506809
04/25/2020,114459,1990464
04/24/2020,123464,2521897
04/23/2020,111627,2526961
04/22/2020,98968,2254209
04/21/2020,92859,2227475
04/20/2020,99344,2594171
04/19/2020,105382,2356802
04/18/2020,97236,1988205
04/17/2020,106385,2457133
04/16/2020,95085,2616158
04/15/2020,90784,2317381
04/14/2020,87534,2208688
04/13/2020,102184,2484580
04/12/2020,90510,2446801
04/11/2020,93645,2059142
04/10/2020,108977,2590499
04/09/2020,104090,2487398
04/08/2020,94931,2229276
04/07/2020,97130,2091056
04/06/2020,108310,2384091
04/05/2020,122029,2462929
04/04/2020,118302,2011715
04/03/2020,129763,2476884
04/02/2020,124021,2411500
04/01/2020,136023,2151626
03/31/2020,146348,2026256
03/30/2020,154080,2360053
03/29/2020,180002,2510294
03/28/2020,184027,2172920
03/27/2020,199644,2538384
03/26/2020,203858,2487162
03/25/2020,239234,2273811
03/24/2020,279018,2151913
03/23/2020,331431,2434370
03/22/2020,454516,2542643
03/21/2020,548132,2227181
03/20/2020,593167,2559307
03/19/2020,620883,2513231
03/18/2020,779631,2320885
03/17/2020,953699,2177929
03/16/2020,1257823,2465709
03/15/2020,1519192,2545742
03/14/2020,1485553,2274658
03/13/2020,1714372,2634215
03/12/2020,1788456,2503924
03/11/2020,1702686,2187298
03/10/2020,1617220,2122898
03/09/2020,1909363,2378673
03/08/2020,2119867,2485430
03/07/2020,1844811,2156262
03/06/2020,2198517,2543689
03/05/2020,2130015,2402692
03/04/2020,1877401,2143619
03/03/2020,1736393,1979558
03/02/2020,2089641,2257920
03/01/2020,2280522,2301439
